human_time,epoch_time,web_cpu,mongo-db_cpu,nginx_cpu,mosquitto_cpu,web_ram,mongo-db_ram,nginx_ram,mosquitto_ram,host_cpu,host_ram
00:00.2,1682276400,155.55,2.91,0.04,0.21,0.62,0.513,0.0031,0.0013,95.9,1.4
01:17.8,1682276477,126.7,1.92,0.71,0.14,0.61,0.513,0.0031,0.0013,95.7,1.4
02:35.4,1682276555,157.85,2.16,0.44,0.1,0.56,0.514,0.0031,0.0013,94.5,1.4
03:35.0,1682276614,145.37,8.61,0.7,0.24,0.61,0.546,0.0031,0.0013,94.8,1.5
04:52.4,1682276692,53.9,2.17,0.15,0.09,0.55,0.547,0.0031,0.0013,98.6,1.4
06:10.1,1682276770,153.61,5.4,0.76,0.1,0.56,0.547,0.0031,0.0013,93.3,1.4
07:27.7,1682276847,116.35,3.25,0.54,0.26,0.61,0.546,0.0033,0.0013,90.9,1.5
08:45.1,1682276925,40.6,1.86,0.33,0.25,0.54,0.546,0.0031,0.0013,95.8,1.4
10:02.6,1682277002,51.82,2.15,0.14,0.1,0.62,0.546,0.0031,0.0013,95.9,1.5
11:20.0,1682277080,59.9,1.92,0.63,0.13,0.6,0.547,0.0031,0.0013,95.9,1.5
12:37.6,1682277157,138.65,3.27,0.67,0.11,0.55,0.547,0.0031,0.0013,89.2,1.4
13:55.2,1682277235,117.87,2.04,0.05,0.09,0.62,0.547,0.0031,0.0013,89.1,1.5
15:12.7,1682277312,55.62,1.97,0.63,0.09,0.54,0.547,0.0031,0.0013,90.7,1.4
16:30.3,1682277390,54.64,2.38,0.64,0.12,0.61,0.546,0.0031,0.0013,97.3,1.5
17:47.8,1682277467,142.89,2.32,0.59,0.12,0.6,0.546,0.0032,0.0013,89.2,1.5
19:05.4,1682277545,153.72,1.99,0.04,0.13,0.56,0.546,0.0031,0.0013,94.4,1.4
20:23.0,1682277622,58.38,11.96,0.85,0.07,0.62,0.547,0.0032,0.0013,98.6,1.5
21:40.4,1682277700,61.93,2.63,0.11,0.13,0.54,0.547,0.0031,0.0013,98.6,1.4
22:57.9,1682277777,49.58,2,0.04,0.12,0.6,0.547,0.0031,0.0013,92.9,1.5
24:15.5,1682277855,152.6,2.72,0.62,0.1,0.6,0.547,0.0033,0.0013,97.2,1.5
25:33.2,1682277933,144.4,2.03,0.75,0.31,0.55,0.547,0.0031,0.0013,93.1,1.4
26:50.7,1682278010,32.85,2.15,0.65,0.19,0.59,0.547,0.0031,0.0013,95.8,1.5
28:08.2,1682278088,55.88,2.76,0.04,0.15,0.54,0.547,0.0031,0.0013,95.8,1.4
29:25.7,1682278165,70.98,2.25,0.3,0.09,0.6,0.547,0.0031,0.0013,95.9,1.5
30:43.2,1682278243,162.65,3.19,0.8,0.09,0.6,0.547,0.0031,0.0013,92,1.5
32:00.7,1682278320,116.26,2.22,0.63,0.26,0.56,0.548,0.0031,0.0013,91.7,1.4
33:18.3,1682278398,54.23,7.94,0.18,0.08,0.59,0.548,0.0031,0.0013,98.6,1.5
34:35.7,1682278475,78.86,3.12,1.11,0.24,0.54,0.548,0.0031,0.0013,98.7,1.4
35:53.3,1682278553,55.43,2,0.6,0.11,0.6,0.548,0.0031,0.0013,94.3,1.5
37:10.8,1682278630,128.41,3.12,0.68,0.19,0.6,0.548,0.0031,0.0013,94.4,1.5
38:28.4,1682278708,59.86,2.97,0.08,0.1,0.56,0.548,0.0031,0.0013,100,1.4
39:45.9,1682278785,61.11,2.06,0.61,0.09,0.6,0.548,0.0031,0.0013,88.3,1.5
41:03.4,1682278863,49.28,1.75,0.72,0.09,0.54,0.548,0.0031,0.0013,95.7,1.4
42:20.9,1682278940,61.08,2.26,0.56,0.13,0.6,0.548,0.0031,0.0013,96,1.5
43:38.4,1682279018,147.79,2.32,0.05,0.09,0.6,0.548,0.0031,0.0013,95.9,1.5
44:56.0,1682279096,93.28,2.84,0.75,0.11,0.55,0.548,0.0031,0.0013,91.7,1.4
46:13.6,1682279173,143.02,2.14,0.58,0.18,0.6,0.548,0.0031,0.0013,95.8,1.4
47:31.1,1682279251,40.44,1.94,0.56,0.12,0.54,0.548,0.0031,0.0013,90.5,1.4
48:48.5,1682279328,26.17,2.07,0.58,0.09,0.6,0.548,0.0031,0.0013,87.7,1.5
50:06.2,1682279406,138.19,2.41,0.54,0.1,0.6,0.548,0.0031,0.0013,94.5,1.5
51:23.8,1682279483,143.28,3.1,1.01,0.09,0.56,0.548,0.0031,0.0013,95.7,1.4
52:41.3,1682279561,51.1,1.67,0.64,0.12,0.6,0.548,0.0031,0.0013,94.5,1.5
53:58.8,1682279638,35.97,2.07,0.45,0.14,0.54,0.548,0.0031,0.0013,100,1.4
55:16.3,1682279716,49.05,2.17,0.47,0.15,0.6,0.548,0.0031,0.0013,94.5,1.5
56:33.9,1682279793,154.96,2.12,0.82,0.09,0.6,0.548,0.0032,0.0013,87.7,1.5
57:51.5,1682279871,188.83,1.82,0.65,0.13,0.56,0.548,0.0031,0.0013,95.9,1.4
59:09.0,1682279949,92.18,2.2,0.55,0.08,0.6,0.548,0.0031,0.0013,89.5,1.5
00:26.6,1682280026,125.26,2.28,0.51,0.12,0.54,0.548,0.0031,0.0013,95.8,1.4
01:44.2,1682280104,263.67,2.2,0.17,0.12,0.6,0.548,0.0034,0.0013,93.3,1.5
03:01.9,1682280181,200.7,1.93,0.84,0.14,0.61,0.548,0.0031,0.0013,94.3,1.5
04:19.4,1682280259,84.26,4.21,0.7,0.23,0.56,0.548,0.0031,0.0013,93,1.4
05:37.0,1682280336,115.98,13.14,0.15,0.13,0.6,0.549,0.0032,0.0013,98.6,1.5
06:54.5,1682280414,115.89,2.83,0.17,0.39,0.54,0.549,0.0031,0.0013,95.7,1.4
08:12.1,1682280492,318.59,1.8,0.86,0.14,0.61,0.548,0.0031,0.0013,93,1.5
09:29.8,1682280569,123.72,4.35,0.81,0.1,0.62,0.548,0.0031,0.0013,84.8,1.5
10:47.4,1682280647,62.92,1.7,0.05,0.06,0.56,0.548,0.0031,0.0013,97.4,1.4
12:04.9,1682280724,63.15,1.83,0.64,0.1,0.61,0.548,0.0031,0.0013,98.6,1.5
13:22.4,1682280802,41.72,3.27,0.75,0.13,0.56,0.548,0.0031,0.0013,92.9,1.4
14:40.1,1682280880,153.87,4.83,0.25,0.36,0.62,0.548,0.0032,0.0013,91.8,1.5
15:57.8,1682280957,215.45,2.91,0.18,0.23,0.62,0.548,0.0031,0.0013,89.2,1.5
17:15.4,1682281035,69.65,1.79,0.66,0.1,0.53,0.548,0.0031,0.0013,97.1,1.4
18:32.9,1682281112,62.03,1.84,0.57,0.18,0.61,0.549,0.0031,0.0013,90.2,1.5
19:50.5,1682281190,62.32,1.68,0.58,0.08,0.6,0.549,0.0032,0.0013,87.3,1.5
21:08.1,1682281268,160.97,2.53,1.02,0.1,0.61,0.548,0.0031,0.0013,95.9,1.5
22:25.6,1682281345,81,2.12,0.68,0.1,0.61,0.548,0.0031,0.0013,87,1.5
23:43.2,1682281423,28.79,2.2,0.59,0.11,0.55,0.548,0.0032,0.0013,97.3,1.4
25:00.6,1682281500,56.94,3.69,1.1,0.1,0.6,0.548,0.0031,0.0013,87,1.5
26:18.1,1682281578,45.17,2.84,0.86,0.11,0.55,0.548,0.0031,0.0013,95.8,1.4
27:35.7,1682281655,160.46,2.54,0.05,0.15,0.56,0.548,0.0031,0.0013,95.9,1.4
28:53.2,1682281733,61.88,1.97,0.62,0.2,0.61,0.548,0.0031,0.0013,95.9,1.5
30:10.7,1682281810,62.18,1.64,0.61,0.09,0.54,0.548,0.0031,0.0013,95.9,1.4
31:28.2,1682281888,21.15,2.83,0.55,0.08,0.6,0.548,0.0031,0.0013,94.6,1.5
32:45.7,1682281965,62.12,2.58,0.14,0.16,0.6,0.549,0.0031,0.0013,92,1.5
34:03.4,1682282043,157.06,2.7,0.65,0.12,0.56,0.55,0.0031,0.0013,97.2,1.4
35:21.1,1682282121,30.41,11.51,0.85,0.11,0.61,0.55,0.0031,0.0013,85.8,1.5
36:38.6,1682282198,53.34,3.04,0.42,0.31,0.54,0.55,0.0031,0.0013,93.2,1.4
37:56.0,1682282276,61.73,1.84,0.19,0.09,0.6,0.55,0.0031,0.0013,93.5,1.5
39:13.5,1682282353,61.47,1.69,0.62,0.09,0.6,0.55,0.0031,0.0013,93.1,1.5
40:31.0,1682282431,128.05,2.38,0.74,0.1,0.55,0.55,0.0031,0.0013,91.9,1.4
41:48.6,1682282508,153.61,2.75,0.04,0.09,0.61,0.55,0.0031,0.0013,97.3,1.5
43:06.1,1682282586,61.07,1.85,0.63,0.1,0.54,0.55,0.0032,0.0013,92,1.4
44:23.6,1682282663,56.33,2.7,0.6,0.14,0.6,0.55,0.0033,0.0013,95.7,1.5
45:41.1,1682282741,39.89,1.83,0.59,0.14,0.6,0.55,0.0032,0.0013,94.4,1.5
46:58.8,1682282818,229.2,2.32,0.26,0.33,0.56,0.55,0.0031,0.0013,94.5,1.4
48:16.3,1682282896,72.65,1.73,0.21,0.23,0.61,0.55,0.0031,0.0013,91.7,1.5
49:33.8,1682282973,51.08,1.88,0.57,0.09,0.54,0.55,0.0031,0.0013,95.8,1.4
50:51.3,1682283051,35.98,2.25,0.61,0.09,0.6,0.55,0.0032,0.0013,88,1.5
52:08.7,1682283128,156.9,2.39,0.13,0.13,0.6,0.55,0.0031,0.0013,94.6,1.5
53:26.3,1682283206,162.33,1.81,0.64,0.14,0.56,0.55,0.0031,0.0013,92.9,1.4
54:43.8,1682283283,31.34,2.12,0.68,0.06,0.61,0.55,0.0031,0.0013,82.6,1.5
56:01.3,1682283361,42.7,2.34,0.55,0.22,0.54,0.55,0.0031,0.0013,87.8,1.4
57:18.7,1682283438,25.13,3.19,0.55,0.09,0.6,0.55,0.0033,0.0013,92.2,1.5
58:36.3,1682283516,150.77,2.71,0.04,0.08,0.6,0.55,0.0032,0.0013,97.2,1.5
59:53.9,1682283593,152.66,1.87,0.75,0.1,0.56,0.55,0.0031,0.0013,92.6,1.4
01:11.4,1682283671,22.3,2.13,0.56,0.09,0.57,0.55,0.0033,0.0013,97.3,1.5
02:28.9,1682283748,60.53,1.83,0.13,0.1,0.54,0.55,0.0031,0.0013,95.8,1.4
03:46.4,1682283826,63.14,1.91,0.58,0.2,0.6,0.55,0.0031,0.0013,90.4,1.5
05:04.0,1682283903,137.65,3.7,1.2,0.52,0.6,0.55,0.0033,0.0013,94.6,1.5
06:21.6,1682283981,74.09,2.1,0.64,0.17,0.55,0.55,0.0031,0.0013,87.8,1.4
07:39.1,1682284059,55.76,11.94,0.55,0.08,0.6,0.55,0.0031,0.0013,87.9,1.5
08:56.6,1682284136,60.96,1.95,0.06,0.08,0.54,0.55,0.0031,0.0013,95.7,1.4
10:14.1,1682284214,72.24,23.81,0.57,0.08,0.6,0.55,0.0031,0.0013,93.2,1.5
11:31.7,1682284291,159,1.88,0.69,0.13,0.61,0.55,0.0031,0.0013,93.3,1.5
12:49.2,1682284369,37.55,2.26,0.19,0.14,0.56,0.55,0.0031,0.0013,94.5,1.4
14:06.7,1682284446,63.5,2.12,0.62,0.14,0.6,0.55,0.0031,0.0013,97.3,1.4
15:24.2,1682284524,83.75,2.73,0.75,0.15,0.54,0.55,0.0032,0.0013,90.6,1.4
16:41.7,1682284601,143.95,16.41,0.66,0.09,0.61,0.55,0.0031,0.0013,95.7,1.5
17:59.3,1682284679,128.48,3.69,0.64,0.11,0.61,0.55,0.0032,0.0013,93,1.5
19:16.8,1682284756,152.09,3.45,0.04,0.12,0.56,0.55,0.0031,0.0013,90.3,1.4
20:34.3,1682284834,63,2.05,0.69,0.08,0.6,0.55,0.0031,0.0013,92.8,1.5
21:51.8,1682284911,37.05,1.85,0.64,0.15,0.54,0.55,0.0031,0.0013,93.2,1.4
23:09.3,1682284989,71.19,3.63,0.49,0.09,0.61,0.55,0.0031,0.0013,94.4,1.5
24:27.0,1682285066,160.44,2.29,0.67,0.13,0.61,0.55,0.0031,0.0013,97.3,1.5
25:44.5,1682285144,119.38,1.5,0.69,0.09,0.56,0.55,0.0031,0.0013,91.6,1.4
27:02.0,1682285222,57.73,2.16,0.53,0.08,0.6,0.55,0.0032,0.0013,94.4,1.5
28:19.5,1682285299,54.62,4.22,0.14,0.12,0.54,0.55,0.0031,0.0013,89.3,1.4
29:37.0,1682285377,60.61,2.78,0.71,0.12,0.61,0.55,0.0031,0.0013,91.8,1.5
30:54.6,1682285454,124.91,2.31,0.79,0.09,0.61,0.55,0.0031,0.0013,88.6,1.5
